Run,Open (µs),Write (µs),Read (µs),Close (µs)
401,1200.7,391.9,37,265.4
402,1080.7,308.1,35.7,262.5
403,1420.3,327.7,38.9,369.9
404,1028.6,287.6,36.8,259.7
405,987.1,277.2,34,295.8
406,1224.6,437.6,45.9,289.4
407,1626.2,257.9,26.6,169.5
408,970.7,291.2,84.1,260.4
409,1579.6,216.6,29.3,231.1
410,754.7,200.8,23.4,302.6
411,1392.3,393.2,39.5,227.3
412,1488.6,581.9,80.5,185.2
413,1179.1,266.8,33,220.9
414,1116.2,305.2,110.3,224.8
415,1289.9,185.6,32.2,174.2
416,1172.3,320.3,131.8,318.9
417,1317.1,301.5,37.9,240.6
418,831.2,179.6,25.3,301.9
419,1237.9,207.5,24.2,168.6
420,1252.2,302.6,42,414.7
421,1605.1,347.2,53.5,318.9
422,1604,442.4,47.5,340
423,1702.9,324.4,36.5,452.7
424,1446.9,269.6,33.2,257.8
425,1366.7,256.3,34.4,319.1
426,928.8,244.4,30.9,260.6
427,1151.2,230.6,25.9,157.4
428,1370.3,359.3,39.1,242.2
429,1185.5,276.9,36.3,223.9
430,1400.2,266.2,34.2,224.1
431,1258.9,251.8,34,213.2
432,1291.7,343.7,39.9,501.9
433,1437.5,250.4,31.9,498.6
434,995.1,299.4,48,375.5
435,2349.9,380.9,40.9,238.9
436,1152.1,275.6,32.7,228.9
437,1054.9,387.5,37.3,271.6
438,1188.9,602.7,137.3,391.5
439,1149.4,298.5,39,242.5
440,1074.4,297.1,37.2,264.4
441,931.6,254.2,35.8,244.8
442,1032.9,280.9,34.4,229
443,1555.7,293.5,35.2,243.9
444,1347,281.2,34.8,205.7
445,1634.8,237.3,28.5,331.7
446,1231.7,292.8,34.5,236.8
447,1092.7,292.8,50.3,274.4
448,1262,229.2,22,121.7
449,1406.6,268.6,35.3,252
450,1511.3,486,151.5,436.9
451,711.4,394,41.1,251.7
452,1370.7,397.1,50.8,357.8
453,1716,429.8,71.9,382.1
454,1372.5,301.3,36.7,235.1
455,1263.7,331.4,37.7,237
456,1060.9,214.1,26.4,386.7
457,1496.3,360.7,41.5,271.1
458,933.4,261.6,35.5,222.3
459,917.6,392.7,37.4,348.2
460,1608,326.8,36.1,226.5
461,1599,228.5,27.5,235.8
462,1338.5,237.1,27.5,450.4
463,1082.1,369.8,75.8,421.6
464,1533.2,293.3,37.7,242
465,693.7,198.3,25.5,162.7
466,1693.1,222,27.1,235.3
467,1595.5,379.8,30.9,164.1
468,1307,386.1,38.1,295.8
469,1448.8,243.4,30.2,426.7
470,1722.3,301.7,38.8,243.8
471,1124.4,382.4,38.4,464
472,1077,292,32.1,692.7
473,1515.5,296.2,37.3,226.5
474,1106.2,307.6,35.3,356
475,1423.8,287.6,38,221.3
476,1126.1,322.3,36.1,343.3
477,1387.2,292.9,38.4,301.1
478,1486.5,357.5,38.3,342
479,1061.5,290.2,39.1,393.9
480,1255.6,301,56.3,293.2
481,1395.9,304.6,39.6,182.2
482,1135.4,313.4,37.9,312.7
483,1304.4,537.4,42.5,262
484,1751.2,251.5,31.6,489.5
485,809,311.4,32.2,186.8
486,1756.8,284.6,38.5,234.5
487,1409.7,348.8,40.5,346.2
488,1729.7,329.8,37.2,512.3
489,1657.3,1091.8,131.7,280.4
490,1019.5,775.1,39.7,312.3
491,1142.7,286.7,38.1,254.3
492,1545,275.8,108.9,343
493,1719.7,284.6,372.1,239.2
494,1314.2,205.3,28.4,238.9
495,1125.9,300.7,35.4,218.3
496,1548.2,315.5,128.3,225
497,1222.8,381.3,39.9,263.8
498,1068.2,295.4,35.9,168.8
499,972.6,269.1,34.4,260
500,1206.7,406.8,33.2,164.2
501,1823.7,425.8,36.6,248.4
502,1468,296.8,33.8,284.9
503,1029.5,290.3,33.4,246.9
504,1061.7,355,86.6,346.3
505,1204.4,280.6,36,221
506,1196.9,226.5,27.3,152.9
507,1117.5,336.7,41.9,281
508,1236.1,272.3,37.4,237.6
509,1428,278.9,37.2,161.2
510,1095.9,265.1,35.4,223.6
511,1390.7,378.2,43.1,250.5
512,1420.1,425,51.7,272.6
513,1079.2,291.1,38.1,375.9
514,1127.2,256.7,32.5,219.7
515,1364.7,318.8,35.2,248.5
516,1047.7,274.2,36.3,251.6
517,1194.9,390.9,36.7,510.8
518,1117.5,686.5,50.2,277
519,1433.3,297.5,35.2,242
520,945.1,305.2,35.4,224.8
521,1048.2,248.8,31.4,205.6
522,1126.6,309.8,34.9,229.3
523,1377,332.5,36.6,275.2
524,936.6,249.3,27.5,161.4
525,1116.8,331.6,29.2,176
526,1218.4,328,38.1,181.6
527,1395.6,297.4,36.4,247.2
528,1137.9,294,33.9,341
529,1094.7,403.1,39.6,269
530,1098.9,273.4,36.6,210.2
531,1279.8,532.2,134.6,296.3
532,1396.9,289.1,35.1,213.5
533,1427.3,286.6,32.9,211.8
534,1221,277.9,33.4,214.8
535,1175.6,460.4,29.6,227.8
536,1193.4,265,36.4,240.8
537,1116.2,342.3,38.5,292.8
538,1213,271.5,35.6,220.4
539,988,345.4,37.5,233.2
540,943,375.2,32.9,257
541,1080.1,274.4,28.2,160.6
542,1284.7,354.7,34,246.6
543,1393.9,574.4,49.5,276.6
544,1214.9,360.5,37.2,361.2
545,1418.8,316,34.1,205.1
546,1131.1,308.9,33.8,389.8
547,1181.7,291,34.9,233.5
548,1395.5,272,35.2,230.8
549,1510.9,423.7,32.5,341.5
550,1235.2,287.4,34.7,215
551,1443.5,519,30.5,199.8
552,1276.1,263.7,32,202.7
553,916.3,263.3,34,232.3
554,1239.3,255.3,34.7,300.4
555,926.6,219.2,26.5,252.4
556,1562.3,289.3,37.6,226.8
557,1232.7,258.3,34.7,277.1
558,1301.2,287.3,33.9,215.4
559,1396.9,298.6,37.4,247.7
560,1158.1,319.1,38.1,232.4
561,1190.2,292.4,36.8,230.1
562,1179.4,499.1,105.6,281.1
563,1580.6,306.5,178,249.7
564,1095.9,268.5,35.3,346.5
565,1309.7,375.4,37.4,238.5
566,1551.4,265.1,33.3,300.8
567,1488.5,337.7,93.6,385.9
568,1520.2,361.6,73.2,272.3
569,1995.5,326.8,38.1,333.3
570,1989.4,208.7,28,170.5
571,1202.1,219.5,27.8,167
572,1010.1,338.5,25.9,173.9
573,911.7,257.1,29.4,307.6
574,909,263,29,224.8
575,1033,298.6,42.1,329.5
576,1109.7,372.4,40.9,336.4
577,1111.7,274.9,37.2,377.3
578,1303.5,263.4,27.7,169.1
579,1849,317.2,39.7,482.4
580,1650,380.3,51.4,260
581,1502.4,344.5,40.6,268
582,1092.5,360.8,71.1,403.2
583,1277.1,361.2,48.9,251.9
584,1278.5,329.5,40.2,469
585,1729.1,311.2,35.1,241.1
586,871.7,386,43.9,393.8
587,1025.6,415.7,39.2,241.6
588,1296.1,296.1,36.4,229.6
589,1446.3,236,26.8,140.4
590,2449.4,344.7,33.2,236.6
591,1196.8,329,37.8,348.7
592,1089.2,254.8,29.1,181.6
593,1216.9,392.1,39.2,256.2
594,1043.3,338.7,38,351.2
595,1848.5,533.8,41,397.2
596,1620.9,372.9,50.5,408.9
597,1784.1,392.5,57,738.8
598,1598.6,317.1,38.4,338
599,1658.2,372.9,41.7,240.2
600,1135.3,317.5,40.2,526.6
601,1307.6,390.8,46.2,376.9
602,1584.5,372.3,39,364.3
603,1409.3,298.8,37.8,399.8
604,1112.5,271.2,34.7,227.9
605,1190.4,296.2,55.8,575.7
606,1094,323.4,43.6,355.7
607,1428.3,297.3,52,207.1
608,1332.2,320.5,35.5,220.4
609,1095.5,402.6,38,261.2
610,1426.3,365.3,36.8,231.1
611,965.5,206.6,18.9,329.6
612,1367.1,315.9,40,179.2
613,1309.2,309.3,70.1,267
614,1250,349.9,36.2,458.2
615,952.6,153.8,19.4,113.5
616,1223.6,286.5,33.6,238.6
617,1233.3,340.8,39,242.8
618,967.9,227.5,32,325.5
619,1072.7,303.3,36,340.9
620,1383.5,344.9,37.4,245.1
621,1263.5,351.4,36,225.1
622,1421.9,375.8,43.5,304.8
