Run,Open (µs),Write (µs),Read (µs),Close (µs)
298,1547.600,294.400,29.000,238.800
299,1581.800,151.600,15.300,138.200
300,535.300,128.300,16.000,100.300
301,1544.000,677.200,296.300,290.900
302,832.500,558.900,235.900,314.600
303,1605.300,286.200,145.400,246.500
304,577.300,142.000,16.400,105.800
305,371.400,109.900,13.900,211.500
306,802.500,175.200,21.500,188.300
307,757.900,133.700,14.900,189.400
308,987.000,139.800,21.400,323.900
309,384.300,155.600,14.100,363.400
310,1798.600,288.600,183.200,133.300
311,395.800,152.700,13.700,102.200
312,1207.600,138.700,14.400,97.200
313,563.000,156.800,13.600,106.000
314,605.500,132.300,14.000,134.500
315,1069.900,119.200,12.900,129.000
316,746.100,139.500,12.700,100.900
317,638.900,134.300,77.500,109.800
318,492.300,174.100,63.200,173.100
319,585.000,303.700,30.300,247.700
320,862.500,426.600,20.900,124.000
321,438.800,121.800,13.400,96.500
322,758.800,594.900,610.500,333.500
323,1413.800,532.000,39.700,268.800
324,1224.000,252.800,184.900,268.800
325,1171.700,275.700,164.100,231.600
326,1490.700,160.100,14.500,106.500
327,781.600,148.700,14.100,70.500
328,437.600,136.100,15.000,104.800
329,1378.100,170.300,16.300,111.500
330,829.700,140.500,13.400,98.900
331,385.500,119.300,13.000,144.500
332,1185.600,358.100,31.600,219.200
333,1389.900,167.400,15.200,113.500
334,383.600,373.700,44.800,385.000
335,394.100,154.200,13.800,98.500
336,459.100,134.900,12.700,356.400
337,1601.700,234.500,84.600,300.300
338,518.100,309.900,35.400,230.900
339,580.100,283.200,27.600,201.200
340,1193.700,157.500,14.300,109.300
341,463.400,294.200,65.600,159.100
342,877.300,127.100,59.700,219.700
343,1442.600,136.400,15.500,237.700
344,895.600,535.500,17.200,118.200
345,608.900,147.200,18.100,394.500
346,616.300,135.800,14.500,106.200
347,1120.000,132.300,14.100,102.100
348,1116.600,277.200,101.800,279.200
349,595.200,139.900,15.400,119.300
350,1565.900,645.100,31.900,302.700
351,586.200,419.500,28.400,220.100
352,418.300,178.200,15.300,244.000
353,1798.600,301.600,31.400,218.400
354,1137.600,134.000,14.000,151.000
355,607.000,121.900,13.600,295.000
356,372.600,127.100,13.200,99.900
357,1187.400,202.500,15.600,108.200
358,981.500,300.900,28.600,267.800
359,749.600,267.600,17.500,130.200
360,717.100,133.200,13.200,167.800
361,1134.500,150.200,15.500,83.700
362,567.300,343.600,169.200,314.700
363,623.500,264.400,28.100,224.700
364,1068.800,367.800,88.200,375.000
365,1262.000,148.400,15.100,105.300
366,943.900,646.700,39.400,408.100
367,1426.100,275.400,28.200,218.300
368,607.200,147.800,16.600,100.000
369,376.400,125.600,13.000,103.600
370,1419.900,409.900,30.100,223.900
371,605.000,387.100,30.500,340.000
372,1234.300,284.200,260.400,235.400
373,440.700,417.900,84.900,250.700
374,679.500,411.400,38.600,279.600
375,1510.100,171.500,15.600,118.600
376,822.800,197.600,15.100,139.200
377,1072.900,163.500,154.200,206.600
378,1405.300,238.800,18.500,368.800
379,1659.700,370.700,36.200,230.500
380,573.600,136.300,57.400,328.400
381,1288.000,269.700,27.700,246.700
382,816.900,452.800,19.900,148.300
383,514.200,154.800,14.600,108.600
384,990.900,137.800,14.200,216.100
385,468.800,109.900,13.400,98.300
386,495.400,128.900,13.800,108.500
387,652.200,245.700,16.000,169.500
388,644.900,173.100,22.600,104.900
389,696.400,518.500,30.500,257.100
390,442.800,129.500,14.500,102.700
391,780.200,569.100,30.900,252.300
392,981.700,211.600,17.100,117.400
393,702.200,198.200,14.400,257.400
394,683.000,471.300,30.700,172.800
395,1456.200,336.900,31.100,266.800
396,1008.500,278.100,28.200,216.000
397,1564.100,168.500,15.000,119.400
398,1348.200,278.800,30.200,220.400
399,1279.200,154.700,15.000,111.900
400,439.300,133.400,14.200,134.600
401,1251.300,361.900,36.900,483.100
402,1064.500,357.900,28.700,229.600
403,445.700,365.300,31.500,288.300
404,1043.000,280.600,17.600,377.900
405,1284.600,215.000,108.300,286.300
406,1031.200,286.200,30.100,215.700
