Run,Open (µs),Write (µs),Read (µs),Close (µs)
639,1474.600,801.100,213.400,443.800
640,1210.200,273.500,31.400,208.000
641,1676.700,340.200,28.100,525.700
642,1379.900,587.200,27.800,430.100
643,923.500,276.500,33.100,305.400
644,1665.600,218.200,19.500,125.300
645,1533.300,356.900,38.700,236.400
646,1212.800,309.700,30.800,326.100
647,1215.300,279.100,29.300,384.000
648,1222.800,298.500,31.500,219.900
649,1285.600,273.800,31.400,202.200
650,1092.800,223.700,84.400,173.200
651,691.500,175.900,23.700,138.900
652,850.700,279.300,111.700,227.700
653,1366.300,288.000,32.400,365.500
654,1274.000,344.800,30.800,216.800
655,1210.800,372.900,30.600,335.600
656,1007.100,252.800,29.500,308.000
657,965.700,255.500,28.000,208.700
658,993.500,270.700,30.800,264.000
659,1785.000,418.100,110.700,356.400
660,1271.400,282.900,30.600,225.400
661,1114.100,305.800,30.200,227.700
662,1388.600,280.700,57.500,208.400
663,1076.800,332.100,32.600,279.500
664,1474.000,319.300,32.600,301.900
665,1213.100,272.400,27.500,198.500
666,836.500,284.600,28.600,151.200
667,1120.000,457.800,36.700,251.900
668,1075.900,240.600,28.000,195.600
669,1343.700,261.000,30.100,193.200
670,555.800,150.000,747.300,188.200
671,1323.900,226.100,22.600,162.100
672,1070.300,332.400,29.600,240.900
673,1087.500,426.500,39.000,183.000
674,969.500,351.900,32.800,347.600
675,571.900,174.000,18.800,127.000
676,804.900,423.600,32.200,331.300
677,1022.400,226.500,20.300,239.100
678,1225.400,379.700,39.500,243.300
679,619.800,243.900,24.600,133.200
680,1293.500,277.300,31.900,221.100
681,651.100,449.000,31.700,251.000
682,1392.300,377.700,26.300,183.900
683,1457.100,227.600,22.400,129.900
684,1228.100,261.500,34.400,214.700
685,936.900,247.500,37.800,264.700
686,901.300,240.600,32.600,600.000
687,1394.100,267.100,101.800,162.900
688,568.600,333.800,168.600,289.500
689,1668.600,381.300,32.000,283.100
690,977.900,164.300,20.200,201.100
691,1070.700,469.400,24.400,178.400
692,1229.600,297.800,120.200,270.700
693,865.100,363.900,24.900,153.700
694,1422.200,394.800,104.600,219.700
695,1081.900,322.500,32.500,258.100
696,884.800,249.600,29.600,301.400
697,1023.300,278.300,31.400,243.800
698,1113.700,282.800,30.400,201.300
699,904.800,237.400,25.500,190.200
700,902.900,473.100,31.500,244.200
701,1019.000,242.000,26.900,249.700
702,947.900,233.900,26.400,197.000
703,1212.900,539.000,31.600,327.900
704,1188.100,277.100,27.700,240.500
705,1234.500,417.000,32.800,214.200
706,1170.400,394.300,29.600,188.800
707,1398.100,397.900,31.700,247.500
708,1155.700,334.000,39.300,243.200
709,1246.700,405.300,35.300,229.700
710,1435.500,293.900,29.500,233.500
711,1197.600,463.500,36.300,253.400
712,898.000,285.600,28.800,239.100
713,1046.500,258.500,28.000,204.600
714,1034.400,247.400,26.800,199.800
715,970.100,245.300,27.300,217.100
716,1083.500,332.400,31.100,211.500
717,954.400,299.600,140.600,236.000
718,887.500,244.100,27.900,202.900
719,991.700,395.100,31.100,225.300
720,1119.500,277.000,32.400,287.800
721,1090.100,328.200,27.900,191.100
722,1144.200,270.300,28.800,196.200
723,1401.300,362.300,30.400,240.400
724,1318.800,302.300,28.100,191.100
725,971.500,262.400,101.800,230.900
726,900.300,237.800,27.700,203.300
727,1031.600,262.300,26.900,194.100
728,884.500,225.500,26.800,183.000
729,930.300,264.400,29.500,195.300
730,998.600,278.800,27.200,195.500
731,1064.400,280.400,31.100,187.100
732,986.800,230.000,27.800,199.400
733,1023.000,254.300,30.800,296.200
734,924.200,364.200,26.200,209.900
735,1336.700,813.400,32.000,335.200
736,1224.600,385.800,30.300,415.300
737,1059.200,240.600,27.800,190.900
738,1003.100,289.700,27.700,215.100
739,1324.300,235.700,97.800,213.800
740,1331.300,292.500,30.300,254.100
741,1116.500,283.900,97.300,200.900
742,989.500,440.700,31.100,315.800
743,1094.800,330.000,30.200,241.100
744,948.400,234.500,30.200,298.900
745,1325.200,383.100,85.700,225.500
