Run,Open (µs),Write (µs),Read (µs),Close (µs)
247,864.000,115.800,14.000,131.700
248,827.800,342.300,14.900,109.000
249,677.900,138.200,14.700,94.900
250,789.700,136.900,14.500,405.300
251,1263.900,136.700,13.400,143.900
252,389.000,122.600,13.700,98.000
253,867.000,113.800,13.100,103.000
254,589.900,264.700,114.000,218.300
255,406.000,331.500,26.200,198.600
256,917.900,191.300,66.200,109.500
257,458.100,155.700,14.600,94.500
258,816.300,371.500,72.800,110.400
259,708.900,237.700,176.700,259.800
260,1123.100,135.500,14.800,165.500
261,509.900,120.800,15.500,107.700
262,1224.900,135.900,14.100,109.500
263,365.700,172.900,15.600,118.700
264,362.200,126.300,170.000,258.200
265,712.400,168.200,168.900,221.800
266,689.900,279.100,27.500,185.200
267,422.500,114.500,15.000,300.200
268,430.100,253.400,109.700,239.500
269,513.600,120.600,14.300,94.400
270,922.800,138.900,15.900,104.200
271,942.600,200.700,15.700,110.400
272,617.600,118.600,13.700,76.200
273,1401.600,189.000,62.900,108.500
274,1313.600,301.700,18.000,126.600
275,773.600,284.000,152.900,302.900
276,984.800,401.300,36.000,262.500
277,443.300,171.600,125.700,109.900
278,1084.400,139.100,14.800,407.200
279,1263.200,146.600,15.000,109.600
280,556.700,124.800,13.300,93.400
281,929.500,147.400,14.700,110.700
282,643.500,134.300,13.300,97.400
283,484.000,220.100,121.900,212.400
284,399.000,120.500,107.200,210.300
285,1320.800,144.300,13.300,192.800
286,594.900,122.500,14.100,198.200
287,1307.400,351.300,18.100,119.200
288,401.700,173.000,235.700,253.500
289,1288.800,269.000,29.100,221.300
290,456.700,125.500,15.100,102.200
291,1220.300,131.100,15.700,108.800
292,840.700,132.000,82.500,100.300
293,743.100,366.400,172.000,240.500
294,1232.600,145.900,14.200,104.400
295,830.500,151.500,14.800,100.600
296,647.900,225.600,105.700,129.800
297,731.700,306.100,133.100,268.200
298,1144.500,164.400,15.900,110.100
299,1066.700,266.300,91.800,212.400
300,1156.500,379.900,61.100,111.400
301,776.400,132.100,15.100,105.400
302,472.900,188.800,161.300,234.000
303,529.300,142.900,168.700,235.800
304,948.600,127.100,15.200,123.300
305,887.800,143.000,14.900,99.600
306,1046.600,135.200,14.900,178.000
307,1011.600,130.300,14.800,295.700
